model_name,model_params,r2,mae,average_precisione,mse,rmse,explained_var
RandomForestRegressor,"{'bootstrap': True, 'max_depth': 4, 'n_estimators': 10}",0.6871997815431541,43.731006069094306,0.3435507934374167,2910.957797692503,53.95329274189392,0.7353936319204644
GradientBoostingRegressor,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 300, 'subsample': 0.8}",0.683387761759642,43.2032512184319,0.29603578750777715,2946.4329286515413,54.28105496995744,0.6939660865165231
GradientBoostingRegressor,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 10, 'subsample': 0.8}",0.6365859971473063,43.04301964348235,0.337648598428494,3381.9759801115356,58.154758877597764,0.6545423176331999
DecisionTreeRegressor,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.5612590491806935,47.470588235294116,0.3245596744017806,4082.9779411764707,63.898184177458994,0.5632134305272042
SVR,"{'C': 1, 'coef0': 0, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5293970048933829,56.12567117957686,0.4036007886140478,4379.490094288558,66.17771599480113,0.529466628879532
MLPRegressor,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.48187111555364326,60.53778840435234,0.40895220851349434,4821.771940664163,69.43897998000952,0.5040883678143822
MLPRegressor,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.4798819169049623,56.829812976186915,0.43075671474332705,4840.283671078238,69.57214723636348,0.5563091210320409
Lasso,"{'alpha': 0.1, 'fit_intercept': False, 'max_iter': 2000, 'selection': 'random'}",0.4659604274509279,61.11966968157709,0.4171725895017714,4969.8387861022575,70.49708352905287,0.46612121465345513
ElasticNet,"{'alpha': 0.1, 'fit_intercept': True, 'l1_ratio': 0.9, 'selection': 'cyclic'}",0.4638413859379442,60.94047041900079,0.4170535712105736,4989.558850385733,70.63680945785798,0.46403532835939876
ElasticNet,"{'alpha': 0.1, 'fit_intercept': False, 'l1_ratio': 0.9, 'selection': 'cyclic'}",0.4638413859379441,60.940470419000775,0.4170535712105736,4989.558850385734,70.63680945785798,0.46403532835939865
Ridge,"{'alpha': 1, 'fit_intercept': True}",0.4257525716586774,62.86160807247452,0.4347724985727766,5344.018100695975,73.10279133313567,0.42606807584025486
GaussianProcessRegressor,"{'alpha': 1.0, 'kernel': DotProduct(sigma_0=1)}",0.4257525716586762,62.86160807247458,0.4347724985727775,5344.018100695986,73.10279133313574,0.42606807584025364
RandomForestRegressor,"{'bootstrap': True, 'max_depth': 1, 'n_estimators': 20}",0.3961667675665237,66.03340989076283,0.5089171733521739,5619.347279006441,74.96230572098513,0.4212092376087403
Ridge,"{'alpha': 10, 'fit_intercept': True}",0.38691511076963303,61.765388676936226,0.4437155081144168,5705.444349613823,75.5343918332161,0.38708849210786234
MLPRegressor,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.2783790482198286,54.33671880814928,0.2965234673368903,6715.494467765458,81.94812058714622,0.31177192407531706
KNeighborsRegressor,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.23574713430031002,64.93696211592179,0.4402824107347699,7112.232369250328,84.33405225204305,0.24045458066612924
GradientBoostingRegressor,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.9}",-0.11435020482849612,89.75909381626415,0.6253208505058714,10370.281817924204,101.83458065865545,-0.11434500371810463
Ridge,"{'alpha': 100000, 'fit_intercept': True}",-0.12866836367740153,90.32779784120851,0.6283982168961484,10503.528387748998,102.48672298277957,-0.12866836364639211
DecisionTreeRegressor,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 20}",-0.12890625000000022,90.33823529411765,0.6284646381334148,10505.7421875,102.49752283592028,-0.12890625
Lasso,"{'alpha': 1, 'fit_intercept': True, 'max_iter': 1000, 'selection': 'cyclic'}",-0.12890625000000022,90.33823529411765,0.6284646381334148,10505.7421875,102.49752283592028,-0.12890625
ElasticNet,"{'alpha': 1, 'fit_intercept': True, 'l1_ratio': 0.9, 'selection': 'cyclic'}",-0.12890625000000022,90.33823529411765,0.6284646381334148,10505.7421875,102.49752283592028,-0.12890625
MLPRegressor,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.1, 'solver': 'adam'}",-0.9160435682289354,119.25621559228713,0.8185593714489786,17830.94012264593,133.53254330928445,-0.9068281916568499
GaussianProcessRegressor,"{'alpha': 1e-10, 'kernel': DotProduct(sigma_0=1)}",-1.2212188140238704,90.67937767455923,0.6666878740551225,20670.938974923105,143.77391618413648,-1.1386242864826368
KNeighborsRegressor,"{'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",-1.4170862660672925,116.17647058823529,0.8801944136546166,22493.70588235294,149.9790181403817,-1.3106619519831044
SVR,"{'C': 100, 'coef0': 1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'sigmoid'}",-20786.939582298524,12604.921186081168,94.13053421654593,193455155.25399446,13908.815738731837,-17030.236586040213
